id,name,team,height,weight,year,position,hometown,state,country,latitude,longitude
4361095,Richard Newton,Washington,72.0,223.0,4.0,RB,Lancaster,CA,USA,34.6981064,-118.1366153
4361100,Jack Westover,Washington,75.0,248.0,4.0,TE,Bellevue,WA,USA,47.6144219,-122.192337
4361105,Zion Tupuola-Fetui,Washington,76.0,254.0,4.0,DE,Pearl City,HI,USA,21.4001231,-157.969428
4361107,Ulumoo Ale,Washington,78.0,327.0,4.0,DL,Tacoma,WA,USA,47.2455013,-122.438329
4361109,Matteo Mele,Washington,78.0,298.0,4.0,OL,Tucson,AZ,USA,32.2228765,-110.974847
4361112,Devin Culp,Washington,76.0,237.0,4.0,TE,Spokane,WA,USA,47.6571934,-117.42351
4361113,Tuli Letuligasenoa,Washington,73.0,292.0,4.0,DL,Concord,CA,USA,37.9768525,-122.0335624
4374280,Edefuan Ulofoshio,Washington,73.0,236.0,4.0,LB,Anchorage,AK,USA,61.2163129,-149.894852
4426352,Jacob Bandes,Washington,75.0,307.0,4.0,DL,Pittsburg,CA,USA,38.0181745,-121.8901232
4426380,Faatui Tuitele,Washington,75.0,317.0,3.0,DL,Honolulu,HI,USA,21.304547,-157.855676
4426821,Julius Buelow,Washington,80.0,315.0,4.0,OL,Kapolei,HI,USA,21.3340079,-158.077849
4427160,Kamren Fabiculanan,Washington,73.0,200.0,4.0,S,Camarillo,CA,USA,34.2176371,-119.0383541
4427170,Troy Fautanu,Washington,76.0,317.0,3.0,OL,Henderson,NV,USA,36.0319843,-114.9822486
4427219,Drew Fowler,Washington,73.0,222.0,4.0,LB,Bellevue,WA,USA,47.6144219,-122.192337
4427294,Ralen Goforth,Washington,74.0,237.0,4.0,LB,Long Beach,CA,USA,33.7690164,-118.191604
4427569,Giles Jackson,Washington,69.0,187.0,4.0,WR,Antioch,CA,USA,38.0049214,-121.805789
4427676,Nate Kalepo,Washington,78.0,325.0,4.0,OL,Renton,WA,USA,47.4799078,-122.2034496
4428713,Bralen Trice,Washington,76.0,274.0,3.0,DE,Phoenix,AZ,USA,33.4484367,-112.074141
4428726,Alphonzo Tuputala,Washington,74.0,230.0,4.0,LB,Federal Way,WA,USA,47.313494,-122.33931
4429089,Geirean Hatchett,Washington,77.0,312.0,4.0,OL,Ferndale,WA,USA,48.8466698,-122.589723
4429186,Sam Adams II,Washington,74.0,212.0,3.0,RB,Kirkland,WA,USA,47.6765382,-122.2070775
4429490,Carson Bruener,Washington,74.0,226.0,4.0,LB,Woodinville,WA,USA,47.7545827,-122.1588902
4429694,Makell Esteen,Washington,73.0,202.0,3.0,S,Hawthorne,CA,USA,33.9128272,-118.3426122
4430565,Will Nixon,Washington,71.0,202.0,3.0,RB,Waco,TX,USA,31.5491899,-97.1474628
4430616,Asa Turner,Washington,75.0,210.0,4.0,DB,Carlsbad,CA,USA,33.1580933,-117.3505966
4430637,Ja'Lynn Polk,Washington,74.0,204.0,2.0,WR,Lufkin,TX,USA,31.3386242,-94.7288558
4430810,Daniyel Ngata,Washington,69.0,191.0,4.0,RB,Folsom,CA,USA,38.6779591,-121.176058
4430834,Jalen McMillan,Washington,73.0,192.0,3.0,WR,Fresno,CA,USA,36.7394421,-119.78483
4430876,Roger Rosengarten,Washington,78.0,300.0,2.0,OL,Highlands Ranch,CO,USA,39.5497243,-104.969565
4431264,Gaard Memmelaar,Washington,76.0,299.0,3.0,OL,Caldwell,ID,USA,43.6678736,-116.689415
4431299,Rome Odunze,Washington,75.0,215.0,3.0,WR,Las Vegas,NV,USA,36.1672559,-115.148516
4432440,Jabbar Muhammad,Washington,70.0,183.0,4.0,DB,Desoto,TX,USA,32.5897831,-96.8570183
4432466,Samuel Peacock,Washington,78.0,296.0,2.0,OL,Gig Harbor,WA,USA,47.3259697,-122.5878659
4569594,Cameron Davis,Washington,72.0,214.0,4.0,RB,Bryant,AR,USA,34.5959045,-92.488348
4569598,Dylan Morris,Washington,73.0,202.0,4.0,QB,Puyallup,WA,USA,47.1849009,-122.29214
4569600,Mishael Powell,Washington,73.0,210.0,4.0,DB,Seattle,WA,USA,47.6038321,-122.330062
