"id","name","team","height","weight","year","position","hometown","state","country","latitude","longitude","formatted_height","stars"
4432260,"Matthew Hibner","Michigan","77.0","254.0","4","TE","Burke","VA","USA","38.778416","-77.274964","6'5""","4"
4432272,"Gavin Holmes","Texas","71.0","185.0","4","DB","New Orleans","LA","USA","29.975998","-90.078213","5'11""","3"
4432301,"Kris Jenkins","Michigan","75.0","305.0","4","DL","Olney","MD","USA","39.153212","-77.066841","6'3""","3"
4432440,"Jabbar Muhammad","Washington","70.0","183.0","4","DB","Desoto","TX","USA","32.589783","-96.857018","5'10""","3"
4432466,"Samuel Peacock","Washington","78.0","296.0","2","OL","Gig Harbor","WA","USA","47.325970","-122.587866","6'6""","3"
4432658,"Raheem Anderson","Michigan","75.0","318.0","4","OL","Detroit","MI","USA","42.331551","-83.046640","6'3""","4"
4432661,"Rayshaun Benny","Michigan","76.0","296.0","4","DL","Detroit","MI","USA","42.331551","-83.046640","6'4""","4"
4432684,"Greg Crippen","Michigan","76.0","309.0","4","OL","Northborough","MA","USA","42.319602","-71.642241","6'4""","4"
4432725,"Deontae Lawson","Alabama","74.0","239.0","3","LB","Mobile","AL","USA","30.691346","-88.043751","6'2""","5"
4432734,"Jalen Milroe","Alabama","74.0","225.0","3","QB","Katy","TX","USA","29.785785","-95.824396","6'2""","4"
4433963,"Zak Zinter","Michigan","78.0","322.0","4","OL","North Andover","MA","USA","42.683989","-71.112707","6'6""","4"
4433970,"J.J. McCarthy","Michigan","75.0","202.0","3","QB","La Grange Park","IL","USA","41.833365","-87.867732","6'3""","5"
4433975,"Kool-Aid McKinstry","Alabama","73.0","195.0","3","DB","Birmingham","AL","USA","33.520682","-86.802433","6'1""","5"
4489406,"Chase Davis","Alabama","73.0","182.0","3","DB","Tuscaloosa","AL","USA","33.209561","-87.567526","6'1""","0"
4565190,"Dallas Turner","Alabama","76.0","242.0","3","LB","Fort Lauderdale","FL","USA","26.122308","-80.143379","6'4""","5"
4566088,"Jaylan Ford","Texas","75.0","242.0","4","LB","Frisco","TX","USA","33.150600","-96.823818","6'3""","3"
4567095,"Keilan Robinson","Texas","69.0","188.0","4","RB","Washington","DC","USA","38.895037","-77.036543","5'9""","4"
4567104,"Will Reichard","Alabama","73.0","194.0","4","PK","Hoover","AL","USA","33.350293","-86.851123","6'1""","3"
4567132,"Darrian Dalcourt","Alabama","75.0","310.0","4","OL","Havre De Grace","MD","USA","39.548827","-76.089826","6'3""","4"
4567138,"Justin Eboigbe","Alabama","77.0","292.0","4","DL","Forest Park","GA","USA","33.622054","-84.369092","6'5""","4"
4567148,"Jalen Catalon","Texas","71.0","205.0","4","DB","Mansfield","TX","USA","32.563487","-97.142031","5'11""","4"
4567783,"James Brockermeyer","Alabama","75.0","285.0","3","OL","Fort Worth","TX","USA","32.753177","-97.332746","6'3""","4"
4568075,"Juan Davis","Texas","76.0","235.0","4","TE","Fort Worth","TX","USA","32.753177","-97.332746","6'4""","3"
4569337,"Ryan Sanborn","Texas","75.0","211.0","1","P","San Diego","CA","USA","32.717420","-117.162772","6'3""","3"
4569382,"Jordan Whittington","Texas","73.0","204.0","4","WR","Cuero","TX","USA","29.093804","-97.290056","6'1""","5"
4569409,"Gabriel Lozano","Texas","73.0","185.0","4","PK","Austin","TX","USA","30.271129","-97.743700","6'1""","0"
4569594,"Cameron Davis","Washington","72.0","214.0","4","RB","Bryant","AR","USA","34.595905","-92.488348","6'0""","4"
4569598,"Dylan Morris","Washington","73.0","202.0","4","QB","Puyallup","WA","USA","47.184901","-122.292140","6'1""","4"
4569600,"Mishael Powell","Washington","73.0","210.0","4","DB","Seattle","WA","USA","47.603832","-122.330062","6'1""","3"
4570039,"Keanu Koht","Alabama","76.0","242.0","3","LB","Vero Beach","FL","USA","27.638716","-80.397540","6'4""","5"
4570040,"Byron Murphy II","Texas","73.0","308.0","3","DL","Desoto","TX","USA","32.589783","-96.857018","6'1""","4"
4571267,"Dale Chesson","Michigan","72.0","194.0","4","WR","Saint Louis","MO","USA","38.628028","-90.191015","6'0""","0"
4572041,"Danny Hughes","Michigan","72.0","208.0","4","RB","Naperville","IL","USA","41.772870","-88.147928","6'0""","0"
4572043,"Leon Franklin","Michigan","69.0","205.0","4","RB","Southfield","MI","USA","42.473369","-83.221873","5'9""","0"
4572050,"Keshaun Harris","Michigan","71.0","192.0","4","DB","Lansing","MI","USA","42.733825","-84.554630","5'11""","0"
