fid,PNT1N,PNT2N,ID1,ID2,distance
"263",players,schools,"4869584","1",5369.48540518652
"264",players,schools,"4869965","2",55.2521077631892
"265",players,schools,"4870593","3",4216.377663971
"266",players,schools,"4870595","2",8133.0721682876
"267",players,schools,"4870609","3",1139.66781329453
"268",players,schools,"4870641","1",630.386026017965
"269",players,schools,"4870656","3",196.442860857439
"270",players,schools,"4870689","2",2.96391596013923
"271",players,schools,"4870699","1",860.339629559122
"272",players,schools,"4870704","1",1240.95139394473
"273",players,schools,"4870706","2",271.361104890411
"274",players,schools,"4870717","1",712.664779635609
"275",players,schools,"4870758","4",2233.37522248368
"276",players,schools,"4870760","2",255.801265912353
"277",players,schools,"4870775","1",40.1263732077458
"278",players,schools,"4870776","2",501.628301649734
"279",players,schools,"4870778","2",701.331265757076
"280",players,schools,"4870796","2",132.677525971011
"281",players,schools,"4870805","3",239.324787711252
"282",players,schools,"4870819","2",326.143897985805
"283",players,schools,"4870856","2",50.0031977407356
"284",players,schools,"4870860","3",1425.53556040615
"285",players,schools,"4870862","3",4216.377663971
"286",players,schools,"4870870","2",221.20724021714
"287",players,schools,"4870878","2",72.5769591120201
"288",players,schools,"4870879","2",550.19796853989
"289",players,schools,"4870881","3",1139.66781329453
"290",players,schools,"4870899","2",496.944964661267
"291",players,schools,"4870900","2",249.160861982275
"292",players,schools,"4870905","4",35.076951055314
"293",players,schools,"4870906","3",530.07745751537
"294",players,schools,"4870908","3",1865.18887435922
"295",players,schools,"4870915","4",2558.93928331581
"296",players,schools,"4870953","3",196.442860857439
"297",players,schools,"4870964","3",530.07745751537
"298",players,schools,"4870969","2",109.400581484862
"299",players,schools,"4870970","2",197.939166474331
"300",players,schools,"4870975","2",584.730837408753
"301",players,schools,"4870976","2",843.098087811488
"302",players,schools,"4871044","3",409.727130334047
"303",players,schools,"4871068","4",920.536896489329
"304",players,schools,"4871076","3",192.901670441927
"305",players,schools,"4871081","2",666.462705501714
"306",players,schools,"4873232","1",2477.89795660494
"307",players,schools,"4875340","4",1326.30146631366
"308",players,schools,"4875341","4",580.23599361195
"309",players,schools,"4875346","4",205.629291846205
"310",players,schools,"4875348","4",5.59598076554601
"311",players,schools,"4875350","4",11.3542634188699
"312",players,schools,"4875351","4",972.021182547972
"313",players,schools,"4875813","2",142.573459600637
"314",players,schools,"4876132","4",1282.39269711737
"315",players,schools,"4878504","3",212.306721788056
"316",players,schools,"4878681","1",2494.38438352661
"317",players,schools,"4878682","1",2695.881603716
"318",players,schools,"4878686","1",885.857945750346
"319",players,schools,"4878687","1",19.8613777114889
"320",players,schools,"4878688","1",270.161221401781
"321",players,schools,"4878690","1",596.182154768716
"322",players,schools,"4878691","1",56.3309127171865
"323",players,schools,"4878694","1",1349.91430148152
"324",players,schools,"4878695","1",327.822313387794
"325",players,schools,"4880041","2",132.677525971011
"326",players,schools,"4880045","2",234.422601965546
"327",players,schools,"4880046","2",335.448433750805
"328",players,schools,"4880048","2",16886.9813718153
"329",players,schools,"4880051","2",2040.4738510014
"330",players,schools,"4880346","3",1.33938876257465
"331",players,schools,"4880347","3",227.397232001718
"332",players,schools,"4880348","3",143.082479747087
"333",players,schools,"4880349","3",212.306721788056
"334",players,schools,"4880350","3",525.02838251226
"335",players,schools,"4880856","4",1278.99504832415
"336",players,schools,"4880858","4",39.0339543962402
"337",players,schools,"4881430","2",757.804912146244
"338",players,schools,"4888707","2",394.571255806432
"339",players,schools,"4889929","3",219.712908219503
"340",players,schools,"4890418","4",961.385648741931
"341",players,schools,"4890419","4",16.7652212917256
"342",players,schools,"4890430","4",8.76261136714766
"343",players,schools,"4894654","1",259.385886995142
"344",players,schools,"4896353","1",290.965464905667
"345",players,schools,"4896390","1",37.6421790972071
"346",players,schools,"4899352","1",323.938288173553
"347",players,schools,"4899366","1",37.7277616698541
"348",players,schools,"4899367","3",168.936567170249
"349",players,schools,"4899376","3",63.7033831746377
"350",players,schools,"4899475","2",2.05054851785872
"351",players,schools,"4899478","3",100.889624368413
"352",players,schools,"4899479","1",548.979440403322
"353",players,schools,"4900374","2",1083.19078278651
"354",players,schools,"4905609","1",556.240437539486
"355",players,schools,"4907672","1",9.40558253762112
"356",players,schools,"4908867","3",1.33938876257465
"357",players,schools,"4910827","1",56.5761093867068
"358",players,schools,"4910844","4",1483.09695969255
"359",players,schools,"4911869","3",1003.82656737669
"360",players,schools,"4912156","1",1491.94932789002
"361",players,schools,"4916379","4",2765.01746635224
"362",players,schools,"4916380","4",2765.01746635224
"363",players,schools,"4917046","4",2456.76987704302
"364",players,schools,"4917371","2",196.258806328126
"365",players,schools,"4917858","1",11.518523508217
"366",players,schools,"4917985","3",241.387011845125
"367",players,schools,"4918101","3",202.193215755224
"368",players,schools,"4918121","2",630.040354050293
"369",players,schools,"4918129","3",1.33938876257465
"370",players,schools,"4918430","3",257.124426919347
"371",players,schools,"4918431","1",285.893608139401
"372",players,schools,"4918439","4",1769.0864899679
"373",players,schools,"4918449","1",303.718805571372
"374",players,schools,"4919036","3",206.070797433805
"375",players,schools,"4921240","1",283.778429061071
"376",players,schools,"4921273","3",206.070797433805
"377",players,schools,"4921318","3",1398.67802346145
"378",players,schools,"4921406","4",125.337860590728
"379",players,schools,"4921520","4",1162.5658609338
"380",players,schools,"4922989","3",109.675610199051
"381",players,schools,"4923036","1",2513.30516357048
"382",players,schools,"4923048","4",1300.28382728118
"383",players,schools,"4923052","1",294.780026001786
"384",players,schools,"4923287","4",1312.7945989974
"385",players,schools,"4940235","4",942.72274498116
"386",players,schools,"4950398","3",191.45690708884
"387",players,schools,"4954503","4",1257.9145402391
"388",players,schools,"4988081","4",1326.30146631366
"389",players,schools,"5008017","1",726.843630654349
"390",players,schools,"5017177","4",1253.52351233102
"391",players,schools,"5077303","4",48.099568226337
"392",players,schools,"5077503","1",1475.9579361986
"393",players,schools,"5077638","2",244.995024312062
"394",players,schools,"5077669","4",2210.97482974732
"395",players,schools,"5077875","4",1432.21314983429
"396",players,schools,"5078347","4",960.115804539882
"397",players,schools,"5078420","4",891.852079107962
"398",players,schools,"5079508","4",857.357042428016
"399",players,schools,"5079656","2",836.511683538954
"400",players,schools,"5080694","2",641.434925488502
"401",players,schools,"5080968","1",5757.32955686625
"402",players,schools,"5081854","2",757.234991249164
"403",players,schools,"5081965","3",1451.7266052525
"404",players,schools,"5081966","3",1.33938876257465
"405",players,schools,"5081967","3",137.929212984086
"406",players,schools,"5081969","3",1773.68800999744
"407",players,schools,"5081970","3",143.082479747087
"408",players,schools,"5081971","3",1.33938876257465
"409",players,schools,"5081972","3",137.929212984086
"410",players,schools,"5081973","3",24.6676837218028
"411",players,schools,"5081975","3",168.936567170249
"412",players,schools,"5081976","3",241.387011845125
"413",players,schools,"5081977","3",203.5010656884
"414",players,schools,"5081978","3",202.193215755224
"415",players,schools,"5081980","3",241.387011845125
"416",players,schools,"5081981","3",1.33938876257465
"417",players,schools,"5082260","2",220.221889941942
"418",players,schools,"5082670","4",972.021182547972
"419",players,schools,"5082671","4",42.9465032538595
"420",players,schools,"5082672","4",972.021182547972
"421",players,schools,"5082673","4",5.59598076554601
"422",players,schools,"5082675","4",18.9279261094528
"423",players,schools,"5082676","4",1031.70513619723
"424",players,schools,"5082677","4",958.537560356142
"425",players,schools,"5082678","4",967.089601754722
"426",players,schools,"5084987","4",1282.39269711737
"427",players,schools,"5085243","1",761.674871282608
"428",players,schools,"5085885","4",12.5099150997562
"429",players,schools,"5086014","1",48.0982398815873
"430",players,schools,"5086016","1",2688.71628270745
